Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)
A0A7K7P043	unreviewed	A0A7K7P043_ACRAR	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (Ecto-ATP diphosphohydrolase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1)	Entpd1 ACRARU_R10279	Acrocephalus arundinaceus (Great reed-warbler)	500	ACRARU_R10279
A0A7K7P0X1	unreviewed	A0A7K7P0X1_ACRAR	Phospholipid phosphatase 1 (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a)	Plpp1 ACRARU_R03232	Acrocephalus arundinaceus (Great reed-warbler)	264	ACRARU_R03232
A0A7K7P215	unreviewed	A0A7K7P215_ACRAR	Presenilin (EC 3.4.23.-)	Psen2 ACRARU_R04878	Acrocephalus arundinaceus (Great reed-warbler)	327	ACRARU_R04878
A0A7K7P2I2	unreviewed	A0A7K7P2I2_ACRAR	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	Agk ACRARU_R00461	Acrocephalus arundinaceus (Great reed-warbler)	421	ACRARU_R00461
A0A7K7P4G9	unreviewed	A0A7K7P4G9_ACRAR	Alanine--glyoxylate aminotransferase 2, mitochondrial (EC 2.6.1.18) (EC 2.6.1.40) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-3-aminoisobutyrate-pyruvate aminotransferase) (D-AIBAT) (D-beta-aminoisobutyrate-pyruvate aminotransferase)	Agxt2 ACRARU_R09175	Acrocephalus arundinaceus (Great reed-warbler)	479	ACRARU_R09175
A0A7K7P5F7	unreviewed	A0A7K7P5F7_ACRAR	Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)	Slc15a1 ACRARU_R12005	Acrocephalus arundinaceus (Great reed-warbler)	700	ACRARU_R12005
A0A7K7P658	unreviewed	A0A7K7P658_ACRAR	4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.19) (EC 1.2.1.3) (EC 1.2.1.46) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase)	Aldh9a1 ACRARU_R13366	Acrocephalus arundinaceus (Great reed-warbler)	463	ACRARU_R13366
A0A7K7P9M8	unreviewed	A0A7K7P9M8_ACRAR	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)	Scp2 ACRARU_R02062	Acrocephalus arundinaceus (Great reed-warbler)	521	ACRARU_R02062
A0A7K7PAW5	unreviewed	A0A7K7PAW5_ACRAR	Hepatic triacylglycerol lipase (EC 3.1.1.3) (EC 3.1.1.32) (EC 3.1.1.5) (Lipase member C) (Lysophospholipase) (Phospholipase A1)	Lipc ACRARU_R06387	Acrocephalus arundinaceus (Great reed-warbler)	435	ACRARU_R06387
A0A7K7PB42	unreviewed	A0A7K7PB42_ACRAR	protein deglycase (EC 3.5.1.124) (Maillard deglycase) (Parkinsonism-associated deglycase)	Park7 ACRARU_R06061	Acrocephalus arundinaceus (Great reed-warbler)	189	ACRARU_R06061
